title,genre,year,rating,votes,runtime_min,director,language,country,budget_million,gross_million,metascore,profit_million,roi_percent
Movie Title 459,Sci-Fi,1980,6.0,1556537,136,Coen Brothers,Italian,South Korea,161.7,1012.2,90.0,850.5,526.0
Movie Title 460,Sci-Fi,1984,6.6,1946049,74,Christopher Nolan,Korean,USA,163.0,122.6,,-40.4,-24.8
Movie Title 461,Romance,1983,8.1,653755,96,Ridley Scott,Korean,France,30.9,165.3,,134.4,435.0
Movie Title 462,Horror,1995,5.5,1570192,182,David Lynch,English,Germany,38.0,247.4,85.0,209.4,551.1
Movie Title 463,Action,2003,5.8,1457048,84,Denis Villeneuve,Japanese,India,73.4,399.9,69.0,326.5,444.8
Movie Title 464,Documentary,1995,7.6,1430210,174,David Lynch,Korean,South Korea,153.2,624.8,33.0,471.6,307.8
Movie Title 465,Drama,1981,5.5,744088,113,David Fincher,Italian,Germany,9.2,70.0,35.0,60.8,660.9
Movie Title 466,Thriller,2007,7.9,651443,95,Denis Villeneuve,Italian,USA,21.8,55.4,73.0,33.6,154.1
Movie Title 467,Crime,2011,6.5,1339950,164,Ridley Scott,Italian,USA,9.0,3.1,62.0,-5.9,-65.6
Movie Title 468,Action,2006,6.9,499682,153,Peter Jackson,Spanish,Japan,56.8,202.7,61.0,145.9,256.9
Movie Title 469,Crime,1999,6.9,60778,209,Guillermo del Toro,Hindi,Japan,21.9,10.0,41.0,-11.9,-54.3
Movie Title 470,Drama,2003,5.8,1095409,201,Martin Scorsese,Korean,South Korea,23.7,181.1,87.0,157.4,664.1
Movie Title 471,Comedy,1991,7.0,810057,156,Wes Anderson,German,Germany,4.4,8.1,38.0,3.7,84.1
Movie Title 472,Comedy,2014,5.6,557376,181,Ridley Scott,Korean,Australia,25.8,163.9,85.0,138.1,535.3
Movie Title 473,Action,2012,5.9,1784586,198,Quentin Tarantino,Korean,Germany,119.0,742.8,58.0,623.8,524.2
Movie Title 474,Animation,2012,7.2,1415657,158,Steven Spielberg,German,USA,15.9,30.2,92.0,14.3,89.9
Movie Title 475,Drama,2022,6.9,1514083,135,Christopher Nolan,English,Australia,71.3,359.7,38.0,288.4,404.5
Movie Title 476,Drama,2016,6.4,1245951,200,Alfonso Cuaron,Korean,South Korea,59.6,34.3,35.0,-25.3,-42.4
Movie Title 477,Romance,1991,5.0,77361,191,Alfonso Cuaron,Spanish,USA,119.5,474.6,73.0,355.1,297.2
Movie Title 478,Animation,1982,5.3,1399949,218,David Lynch,French,Japan,8.5,2.7,44.0,-5.8,-68.2
Movie Title 479,Documentary,1980,6.8,1184765,153,Christopher Nolan,Japanese,France,227.9,1683.0,37.0,1455.1,638.5
Movie Title 480,Documentary,2012,7.4,1664129,185,Wes Anderson,Italian,UK,52.4,409.4,42.0,357.0,681.3
Movie Title 481,Thriller,2019,5.2,523154,185,Coen Brothers,Korean,Australia,323.9,626.4,30.0,302.5,93.4
Movie Title 482,Sci-Fi,1989,5.5,623006,107,Martin Scorsese,English,UK,145.5,265.3,58.0,119.8,82.3
Movie Title 483,Comedy,2022,6.7,1372430,212,Quentin Tarantino,Spanish,USA,15.0,91.2,87.0,76.2,508.0
Movie Title 484,Documentary,2023,6.6,1012930,179,Steven Spielberg,Korean,Germany,3.5,7.6,44.0,4.1,117.1
Movie Title 485,Animation,2008,4.6,1668740,115,Guillermo del Toro,German,Japan,17.7,127.1,82.0,109.4,618.1
Movie Title 486,Drama,1992,6.7,985558,94,Alfonso Cuaron,English,India,45.0,210.4,49.0,165.4,367.6
Movie Title 487,Documentary,1991,5.8,1080525,90,Wes Anderson,French,India,11.3,33.2,64.0,21.9,193.8
Movie Title 488,Drama,2010,8.5,1989627,190,Wes Anderson,Hindi,UK,11.0,73.6,80.0,62.6,569.1
Movie Title 489,Documentary,1981,6.8,1786818,191,David Lynch,Korean,France,37.3,151.0,70.0,113.7,304.8
Movie Title 490,Comedy,2014,7.0,855568,202,Wes Anderson,Spanish,UK,2.0,14.6,,12.6,630.0
Movie Title 491,Crime,2002,7.0,1161117,139,Christopher Nolan,English,USA,7.8,58.0,95.0,50.2,643.6
Movie Title 492,Documentary,1996,5.0,1769555,182,Quentin Tarantino,German,France,32.3,48.1,21.0,15.8,48.9
Movie Title 493,Animation,2005,8.8,62842,176,Stanley Kubrick,English,India,3.9,0.9,24.0,-3.0,-76.9
Movie Title 494,Documentary,1987,4.6,489019,181,Denis Villeneuve,Korean,Germany,30.3,238.6,,208.3,687.5
Movie Title 495,Sci-Fi,2008,7.5,1282506,177,Coen Brothers,English,Japan,38.5,279.8,88.0,241.3,626.8
Movie Title 496,Comedy,2005,7.2,290134,116,Wes Anderson,Hindi,Australia,36.0,22.8,71.0,-13.2,-36.7
Movie Title 497,Animation,1989,5.9,672553,160,Ridley Scott,English,Japan,122.0,817.1,24.0,695.1,569.8
Movie Title 498,Romance,2005,7.3,1341829,87,Ridley Scott,Italian,USA,45.3,170.8,78.0,125.5,277.0
Movie Title 499,Animation,2013,6.1,131356,218,Wes Anderson,Japanese,UK,37.9,84.1,87.0,46.2,121.9
Movie Title 500,Sci-Fi,2020,5.7,1986313,173,Peter Jackson,Italian,USA,31.7,223.6,28.0,191.9,605.4
Movie Title 501,Crime,1986,7.1,769917,109,David Lynch,Japanese,Australia,102.1,177.0,41.0,74.9,73.4
Movie Title 502,Comedy,1983,5.3,738090,207,Stanley Kubrick,English,Japan,135.3,1026.8,46.0,891.5,658.9
Movie Title 503,Romance,1990,6.2,915565,158,Steven Spielberg,German,Australia,115.1,207.6,29.0,92.5,80.4
Movie Title 504,Sci-Fi,2008,5.8,1739446,130,Quentin Tarantino,German,India,67.2,335.1,99.0,267.9,398.7
Movie Title 505,Sci-Fi,2015,6.1,788738,74,James Cameron,Korean,Japan,8.9,17.3,80.0,8.4,94.4
Movie Title 506,Action,2004,7.0,1053425,191,Christopher Nolan,German,France,19.4,86.5,70.0,67.1,345.9
Movie Title 507,Comedy,2000,5.8,13360,124,David Fincher,Japanese,Germany,2.8,15.5,29.0,12.7,453.6
Movie Title 508,Animation,2015,6.3,374216,106,David Fincher,Spanish,Australia,160.3,269.9,25.0,109.6,68.4
Movie Title 509,Drama,1989,5.9,778567,125,Ridley Scott,Japanese,Germany,64.9,276.7,81.0,211.8,326.3
Movie Title 510,Crime,2016,8.2,620055,171,Alfonso Cuaron,Italian,South Korea,82.3,317.6,24.0,235.3,285.9
Movie Title 511,Drama,1988,6.9,262445,162,James Cameron,English,Japan,22.4,16.9,89.0,-5.5,-24.6
Movie Title 512,Animation,2003,6.8,1750736,142,David Fincher,Korean,Japan,112.1,737.9,82.0,625.8,558.3
Movie Title 513,Animation,2014,7.3,1571234,128,Martin Scorsese,French,Germany,18.0,50.7,75.0,32.7,181.7
Movie Title 514,Comedy,2014,5.8,431179,71,Martin Scorsese,Korean,South Korea,0.1,0.5,78.0,0.4,400.0
Movie Title 515,Animation,2015,7.5,55330,173,Steven Spielberg,Korean,France,28.3,119.3,82.0,91.0,321.6
Movie Title 516,Action,1997,6.9,52707,120,James Cameron,Korean,UK,50.7,213.1,78.0,162.4,320.3
Movie Title 517,Romance,2018,4.6,281833,99,Martin Scorsese,Spanish,Australia,39.1,40.5,70.0,1.4,3.6
Movie Title 518,Animation,2011,4.8,1602948,80,Martin Scorsese,Hindi,Australia,118.9,416.5,69.0,297.6,250.3
Movie Title 519,Drama,2003,5.8,1089963,177,Stanley Kubrick,Italian,Japan,6.7,25.0,23.0,18.3,273.1
Movie Title 520,Animation,2002,4.9,1910824,145,Ridley Scott,English,Germany,48.4,286.6,67.0,238.2,492.1
Movie Title 521,Action,2011,6.2,1576506,159,David Fincher,Hindi,USA,43.2,291.7,51.0,248.5,575.2
Movie Title 522,Documentary,2016,5.3,1878145,192,Steven Spielberg,French,Japan,19.8,88.1,70.0,68.3,344.9
Movie Title 523,Documentary,1991,6.4,1522624,194,Quentin Tarantino,Hindi,USA,103.6,90.8,71.0,-12.8,-12.4
Movie Title 524,Sci-Fi,1992,8.2,187633,191,Wes Anderson,English,France,83.9,171.8,93.0,87.9,104.8
Movie Title 525,Crime,2002,6.4,1898268,163,Denis Villeneuve,Italian,Japan,79.2,117.7,53.0,38.5,48.6
Movie Title 526,Thriller,2004,6.1,1720374,172,Christopher Nolan,Italian,Australia,125.3,146.9,55.0,21.6,17.2
Movie Title 527,Romance,2014,7.0,835874,100,Christopher Nolan,English,Germany,77.0,235.2,89.0,158.2,205.5
Movie Title 528,Horror,2020,5.7,890493,121,Alfonso Cuaron,French,France,15.8,31.4,62.0,15.6,98.7
Movie Title 529,Sci-Fi,2009,7.5,397210,158,Guillermo del Toro,English,France,73.4,139.7,35.0,66.3,90.3
Movie Title 530,Crime,1996,7.1,779799,145,Coen Brothers,French,UK,22.1,13.8,78.0,-8.3,-37.6
Movie Title 531,Documentary,1999,6.5,1437564,198,Denis Villeneuve,French,Japan,16.6,5.6,72.0,-11.0,-66.3
Movie Title 532,Drama,2004,6.7,1411295,91,David Lynch,English,USA,4.5,4.5,38.0,0.0,0.0
Movie Title 533,Horror,2001,9.0,789245,109,Denis Villeneuve,Japanese,USA,81.8,126.2,60.0,44.4,54.3
Movie Title 534,Crime,1992,7.6,880459,170,Christopher Nolan,Italian,Japan,74.5,265.3,66.0,190.8,256.1
Movie Title 535,Crime,1998,9.1,1959497,180,Christopher Nolan,French,South Korea,16.0,66.9,73.0,50.9,318.1
Movie Title 536,Sci-Fi,2015,7.1,85381,198,Quentin Tarantino,English,UK,83.0,107.6,74.0,24.6,29.6
Movie Title 537,Horror,1991,4.7,1823744,134,James Cameron,German,UK,149.9,526.6,38.0,376.7,251.3
Movie Title 538,Comedy,2020,6.2,842708,218,James Cameron,Japanese,UK,6.9,19.8,,12.9,187.0
Movie Title 539,Thriller,1998,4.5,1877251,148,Quentin Tarantino,Italian,USA,15.9,25.9,78.0,10.0,62.9
Movie Title 540,Comedy,1991,7.1,194984,91,David Fincher,French,France,83.2,21.1,84.0,-62.1,-74.6
Movie Title 541,Horror,1988,7.4,1109848,168,Denis Villeneuve,Italian,Germany,19.3,74.2,87.0,54.9,284.5
Movie Title 542,Comedy,1986,5.4,1545492,77,Peter Jackson,Japanese,South Korea,58.8,326.2,47.0,267.4,454.8
Movie Title 543,Action,2007,5.7,1746987,86,Denis Villeneuve,Italian,Australia,5.1,10.0,37.0,4.9,96.1
Movie Title 544,Documentary,1993,6.7,997358,86,Stanley Kubrick,Spanish,UK,36.1,44.3,45.0,8.2,22.7
Movie Title 545,Action,2010,5.1,739096,159,Coen Brothers,Korean,USA,80.6,573.8,38.0,493.2,611.9
Movie Title 546,Animation,1998,5.0,254091,210,Christopher Nolan,Spanish,USA,69.6,163.2,74.0,93.6,134.5
Movie Title 547,Comedy,1995,8.0,853050,214,Guillermo del Toro,Japanese,Australia,101.3,196.9,76.0,95.6,94.4
Movie Title 548,Animation,1984,6.6,265064,150,David Lynch,French,France,126.0,867.6,25.0,741.6,588.6
Movie Title 549,Drama,2014,5.8,1155697,147,Denis Villeneuve,English,Australia,89.0,585.0,,496.0,557.3
Movie Title 550,Romance,1991,4.5,471435,75,Christopher Nolan,Hindi,Japan,66.8,247.0,27.0,180.2,269.8
Movie Title 551,Drama,2004,7.5,602160,179,Denis Villeneuve,English,Japan,1.9,7.6,,5.7,300.0
Movie Title 552,Horror,2000,5.7,1917140,83,Coen Brothers,Italian,Germany,45.9,87.1,44.0,41.2,89.8
Movie Title 553,Crime,2015,8.7,265237,141,David Fincher,Hindi,Australia,2.3,1.9,66.0,-0.4,-17.4
Movie Title 554,Documentary,2002,7.5,276049,212,Wes Anderson,Hindi,Germany,99.0,462.6,74.0,363.6,367.3
Movie Title 555,Comedy,1995,5.5,647047,123,Peter Jackson,Italian,UK,23.2,22.4,83.0,-0.8,-3.4
Movie Title 556,Sci-Fi,2018,5.6,418567,96,Alfonso Cuaron,Italian,Germany,49.6,183.7,29.0,134.1,270.4
Movie Title 557,Romance,2021,8.6,1342701,82,Martin Scorsese,French,UK,19.7,148.5,75.0,128.8,653.8
Movie Title 558,Thriller,2018,6.4,1909911,129,Stanley Kubrick,Japanese,South Korea,91.5,698.3,31.0,606.8,663.2
Movie Title 559,Thriller,1993,5.9,1906829,75,Quentin Tarantino,German,Germany,130.6,269.9,52.0,139.3,106.7
Movie Title 560,Thriller,2010,6.5,1420920,127,Quentin Tarantino,English,France,30.5,154.6,90.0,124.1,406.9
Movie Title 561,Comedy,1984,5.9,83289,118,Alfonso Cuaron,Japanese,UK,119.2,464.6,36.0,345.4,289.8
Movie Title 562,Thriller,2014,6.8,641794,95,Peter Jackson,Spanish,France,18.6,130.8,80.0,112.2,603.2
Movie Title 563,Action,2002,6.4,1652377,116,Guillermo del Toro,French,USA,45.9,106.4,29.0,60.5,131.8
Movie Title 564,Romance,2008,7.6,1462666,74,Denis Villeneuve,French,UK,117.4,26.9,50.0,-90.5,-77.1
Movie Title 565,Action,2022,6.0,1755867,89,Martin Scorsese,German,USA,23.7,34.8,79.0,11.1,46.8
Movie Title 566,Crime,1990,5.4,1450466,203,Coen Brothers,Spanish,India,184.8,540.8,89.0,356.0,192.6
Movie Title 567,Romance,1997,6.1,1362236,128,James Cameron,English,France,7.8,20.8,36.0,13.0,166.7
Movie Title 568,Action,1991,6.1,260480,215,Denis Villeneuve,Korean,India,1.1,7.0,69.0,5.9,536.4
Movie Title 569,Romance,1988,6.4,1835907,201,David Fincher,Spanish,UK,140.7,775.0,56.0,634.3,450.8
Movie Title 570,Crime,1989,7.3,1765622,86,Christopher Nolan,English,USA,4.3,10.9,81.0,6.6,153.5
Movie Title 571,Animation,2023,7.2,1537643,83,Alfonso Cuaron,Hindi,UK,288.9,1089.3,99.0,800.4,277.1
Movie Title 572,Comedy,1996,7.9,1380932,82,Steven Spielberg,Italian,India,181.4,171.5,91.0,-9.9,-5.5
Movie Title 573,Comedy,2017,5.5,134498,204,Denis Villeneuve,French,Australia,8.8,63.4,96.0,54.6,620.5
Movie Title 574,Thriller,1986,7.0,1303600,197,Wes Anderson,English,Australia,46.3,347.1,,300.8,649.7
Movie Title 575,Drama,1992,7.4,1704834,113,Stanley Kubrick,Japanese,UK,12.3,96.5,51.0,84.2,684.6
Movie Title 576,Thriller,2019,5.7,1139585,188,Guillermo del Toro,German,South Korea,33.5,233.7,99.0,200.2,597.6
Movie Title 577,Horror,2021,6.3,724858,212,David Lynch,Italian,Japan,3.8,5.9,30.0,2.1,55.3
Movie Title 578,Action,1988,4.4,424159,88,Guillermo del Toro,Japanese,India,15.2,8.5,25.0,-6.7,-44.1
Movie Title 579,Romance,2006,7.6,722755,132,Stanley Kubrick,Italian,UK,27.1,127.9,54.0,100.8,372.0
Movie Title 580,Drama,1981,6.2,45816,150,Steven Spielberg,French,USA,34.6,253.2,52.0,218.6,631.8
Movie Title 581,Crime,1984,7.5,5138,216,Denis Villeneuve,Spanish,UK,227.6,360.4,37.0,132.8,58.3
Movie Title 582,Horror,2008,6.7,1140752,217,Stanley Kubrick,Korean,Australia,99.0,25.2,56.0,-73.8,-74.5
Movie Title 583,Crime,2016,6.3,1387665,169,Peter Jackson,Spanish,USA,80.2,519.9,32.0,439.7,548.3
Movie Title 584,Comedy,2017,4.6,791449,191,Wes Anderson,English,Japan,46.2,36.9,93.0,-9.3,-20.1
Movie Title 585,Comedy,1998,4.8,797883,113,Steven Spielberg,German,UK,110.0,377.0,83.0,267.0,242.7
Movie Title 586,Thriller,1987,3.4,1767892,173,Denis Villeneuve,Spanish,Germany,24.9,136.8,20.0,111.9,449.4
Movie Title 587,Action,1980,5.8,357007,130,Quentin Tarantino,French,Australia,74.0,151.5,82.0,77.5,104.7
Movie Title 588,Drama,2001,9.2,797710,194,Wes Anderson,German,Germany,304.8,260.6,53.0,-44.2,-14.5
Movie Title 589,Documentary,1996,5.0,222552,214,Guillermo del Toro,English,Japan,22.7,140.9,29.0,118.2,520.7
Movie Title 590,Horror,1986,3.3,44764,140,Steven Spielberg,Hindi,India,67.3,344.3,26.0,277.0,411.6
Movie Title 591,Horror,2004,7.7,124030,176,Guillermo del Toro,Spanish,USA,111.6,882.8,75.0,771.2,691.0
Movie Title 592,Thriller,1983,9.3,919638,119,Denis Villeneuve,Spanish,Germany,148.5,428.5,99.0,280.0,188.6
Movie Title 593,Comedy,2015,6.9,1898951,134,Guillermo del Toro,Korean,South Korea,75.9,51.7,56.0,-24.2,-31.9
Movie Title 594,Thriller,1985,6.8,1669531,168,James Cameron,English,India,20.0,118.6,48.0,98.6,493.0
Movie Title 595,Romance,2010,6.1,317462,101,Christopher Nolan,Japanese,USA,23.7,101.2,31.0,77.5,327.0
Movie Title 596,Drama,1998,4.3,890855,210,James Cameron,Spanish,Australia,1.3,2.4,36.0,1.1,84.6
Movie Title 597,Action,2023,4.8,1415718,127,Alfonso Cuaron,French,Australia,85.8,540.3,67.0,454.5,529.7
Movie Title 598,Animation,2018,6.1,61128,197,Alfonso Cuaron,Spanish,Australia,2.6,4.7,45.0,2.1,80.8
Movie Title 599,Sci-Fi,2006,5.9,220128,211,Martin Scorsese,Korean,Japan,120.0,268.0,31.0,148.0,123.3
Movie Title 600,Sci-Fi,1989,6.4,809301,181,Denis Villeneuve,Hindi,Germany,7.6,7.0,40.0,-0.6,-7.9
Movie Title 601,Thriller,2005,7.5,1283116,137,Ridley Scott,Korean,Australia,11.3,37.5,61.0,26.2,231.9
Movie Title 602,Romance,1998,5.8,6039,109,David Fincher,Spanish,France,38.8,134.5,80.0,95.7,246.6
Movie Title 603,Drama,2018,7.5,153353,213,Guillermo del Toro,German,Australia,80.3,338.4,,258.1,321.4
Movie Title 604,Documentary,1982,5.8,113935,201,James Cameron,Japanese,UK,9.0,51.6,73.0,42.6,473.3
Movie Title 605,Sci-Fi,1992,7.7,1584306,159,Steven Spielberg,Italian,Japan,34.8,252.9,53.0,218.1,626.7
Movie Title 606,Drama,2007,6.6,1909796,97,Peter Jackson,Spanish,USA,39.6,50.5,26.0,10.9,27.5
Movie Title 607,Action,1999,6.0,1955737,165,David Lynch,English,USA,14.3,8.9,54.0,-5.4,-37.8
Movie Title 608,Crime,2007,6.6,1339306,100,Wes Anderson,Spanish,USA,7.4,2.5,,-4.9,-66.2
Movie Title 609,Romance,1987,6.1,54053,72,David Fincher,Japanese,USA,108.6,143.4,84.0,34.8,32.0
Movie Title 610,Comedy,2020,6.6,1231137,205,Ridley Scott,English,UK,41.9,223.4,44.0,181.5,433.2
Movie Title 611,Drama,2018,7.4,1788040,93,Guillermo del Toro,French,India,0.9,5.3,78.0,4.4,488.9
Movie Title 612,Action,1980,6.4,87346,84,Coen Brothers,German,South Korea,97.5,617.6,98.0,520.1,533.4
Movie Title 613,Documentary,1982,6.1,330231,114,Denis Villeneuve,English,France,237.2,498.3,25.0,261.1,110.1
Movie Title 614,Animation,1992,5.2,406841,77,Peter Jackson,Korean,UK,55.9,144.6,71.0,88.7,158.7
Movie Title 615,Comedy,2007,7.2,559685,140,Denis Villeneuve,Hindi,USA,42.0,166.7,98.0,124.7,296.9
Movie Title 616,Animation,2004,6.9,1370391,177,Martin Scorsese,Korean,UK,126.4,87.6,40.0,-38.8,-30.7
Movie Title 617,Documentary,2012,5.1,117214,184,Ridley Scott,Italian,Japan,182.8,908.0,90.0,725.2,396.7
Movie Title 618,Action,2017,7.5,486001,172,Wes Anderson,English,South Korea,84.3,663.7,51.0,579.4,687.3
Movie Title 619,Sci-Fi,1985,5.1,854329,194,Guillermo del Toro,French,USA,35.4,106.7,72.0,71.3,201.4
Movie Title 620,Animation,2023,7.7,1731085,126,Wes Anderson,Spanish,France,53.8,326.7,78.0,272.9,507.2
Movie Title 621,Comedy,2011,7.3,988410,99,Denis Villeneuve,German,USA,72.4,296.9,88.0,224.5,310.1
Movie Title 622,Thriller,2000,7.0,1448075,215,Steven Spielberg,English,South Korea,13.0,15.6,81.0,2.6,20.0
Movie Title 623,Horror,1995,6.0,401826,183,Martin Scorsese,Korean,France,35.6,168.8,23.0,133.2,374.2
Movie Title 624,Drama,2000,7.2,437542,186,Quentin Tarantino,English,South Korea,106.3,269.9,37.0,163.6,153.9
Movie Title 625,Sci-Fi,1990,7.8,1326644,129,Coen Brothers,English,France,63.8,29.9,75.0,-33.9,-53.1
Movie Title 626,Animation,2016,7.2,638431,167,Ridley Scott,English,India,31.8,163.8,43.0,132.0,415.1
Movie Title 627,Crime,2015,5.7,373397,195,Christopher Nolan,French,Germany,65.3,450.5,85.0,385.2,589.9
Movie Title 628,Drama,2014,6.8,363441,163,Peter Jackson,German,India,7.5,21.7,32.0,14.2,189.3
Movie Title 629,Thriller,1998,7.9,1836877,203,James Cameron,Japanese,UK,30.8,99.9,81.0,69.1,224.4
Movie Title 630,Documentary,1999,9.1,884520,191,Guillermo del Toro,Japanese,UK,94.5,675.7,73.0,581.2,615.0
Movie Title 631,Horror,1997,6.3,1837022,177,Alfonso Cuaron,English,Australia,14.9,97.5,34.0,82.6,554.4
Movie Title 632,Action,2020,7.5,535391,73,David Lynch,French,France,12.3,71.1,,58.8,478.0
Movie Title 633,Thriller,1993,7.9,1525314,162,Denis Villeneuve,French,Australia,180.7,386.8,22.0,206.1,114.1
Movie Title 634,Thriller,1994,5.5,1946325,75,Peter Jackson,Italian,Australia,14.1,102.9,56.0,88.8,629.8
Movie Title 635,Documentary,2010,8.6,427674,101,Peter Jackson,English,USA,18.1,25.4,56.0,7.3,40.3
Movie Title 636,Romance,1980,5.2,1009109,175,Christopher Nolan,Korean,Germany,209.6,1066.6,22.0,857.0,408.9
Movie Title 637,Documentary,1982,7.5,83409,215,Stanley Kubrick,Korean,Japan,79.6,33.8,82.0,-45.8,-57.5
Movie Title 638,Romance,1995,6.9,1072824,84,Christopher Nolan,Hindi,Japan,72.2,377.0,54.0,304.8,422.2
Movie Title 639,Romance,2002,6.6,1531952,191,Martin Scorsese,German,USA,115.0,271.6,,156.6,136.2
Movie Title 640,Sci-Fi,1990,9.6,699876,165,Ridley Scott,English,USA,7.4,27.4,,20.0,270.3
Movie Title 641,Sci-Fi,1991,6.1,1996141,75,Steven Spielberg,Hindi,India,73.4,212.4,37.0,139.0,189.4
Movie Title 642,Comedy,1989,6.1,1729106,181,Coen Brothers,Korean,Japan,42.0,65.0,55.0,23.0,54.8
Movie Title 643,Animation,2011,8.1,1057600,189,Alfonso Cuaron,Korean,France,106.0,535.5,52.0,429.5,405.2
Movie Title 644,Animation,1995,7.4,476430,192,Wes Anderson,English,South Korea,42.6,301.6,83.0,259.0,608.0
Movie Title 645,Action,1987,8.0,1284440,136,Christopher Nolan,Hindi,Australia,58.1,446.3,45.0,388.2,668.2
Movie Title 646,Animation,2017,6.6,1921955,175,Christopher Nolan,Hindi,UK,39.0,66.3,67.0,27.3,70.0
Movie Title 647,Sci-Fi,1991,6.9,1224451,208,Guillermo del Toro,English,Australia,39.0,226.0,59.0,187.0,479.5
Movie Title 648,Comedy,2003,8.8,937800,112,James Cameron,German,Australia,87.7,472.0,36.0,384.3,438.2
Movie Title 649,Comedy,2007,5.5,1403549,214,Quentin Tarantino,Italian,South Korea,59.4,171.0,59.0,111.6,187.9
Movie Title 650,Romance,1987,6.4,1928716,165,Christopher Nolan,Hindi,India,60.2,21.0,26.0,-39.2,-65.1
Movie Title 651,Documentary,2007,7.5,1922672,201,Quentin Tarantino,Italian,Japan,35.9,200.3,76.0,164.4,457.9
Movie Title 652,Action,2015,6.3,1461049,150,Martin Scorsese,Spanish,Australia,45.4,343.9,27.0,298.5,657.5
Movie Title 653,Romance,2005,5.8,1193503,110,Steven Spielberg,German,Germany,82.2,421.7,75.0,339.5,413.0
Movie Title 654,Documentary,1987,7.2,1134754,202,Peter Jackson,Korean,USA,104.9,377.1,50.0,272.2,259.5
Movie Title 655,Animation,2007,8.1,1048380,104,David Lynch,Japanese,Germany,71.6,307.6,78.0,236.0,329.6
Movie Title 656,Romance,2007,6.3,888553,91,Stanley Kubrick,German,Germany,154.7,271.8,77.0,117.1,75.7
Movie Title 657,Drama,2016,6.3,1566116,219,Wes Anderson,Italian,Japan,103.0,623.6,31.0,520.6,505.4
Movie Title 658,Animation,2020,5.7,807457,181,Christopher Nolan,Italian,France,49.5,298.1,67.0,248.6,502.2
Movie Title 659,Documentary,2015,6.1,1447250,80,Denis Villeneuve,Italian,India,66.8,89.2,50.0,22.4,33.5
Movie Title 660,Action,2006,7.8,1113186,72,David Lynch,French,Australia,156.5,1103.0,82.0,946.5,604.8
Movie Title 661,Documentary,1996,6.6,1644707,206,Guillermo del Toro,German,Australia,57.9,133.2,93.0,75.3,130.1
Movie Title 662,Romance,1988,5.5,632525,129,Quentin Tarantino,Hindi,Australia,104.5,821.5,58.0,717.0,686.1
Movie Title 663,Romance,2012,6.8,1526753,145,James Cameron,Hindi,USA,70.0,223.1,95.0,153.1,218.7
Movie Title 664,Thriller,1999,7.8,1754767,156,Coen Brothers,French,South Korea,48.2,76.5,39.0,28.3,58.7
Movie Title 665,Action,1992,5.8,699787,83,James Cameron,Hindi,France,16.6,48.9,67.0,32.3,194.6
Movie Title 666,Crime,2007,4.9,1536601,87,Christopher Nolan,French,South Korea,33.3,121.0,90.0,87.7,263.4
Movie Title 667,Animation,2008,9.1,1704163,182,Ridley Scott,Italian,UK,206.0,152.6,73.0,-53.4,-25.9
Movie Title 668,Comedy,1992,4.8,1481298,142,Guillermo del Toro,English,India,64.3,302.9,97.0,238.6,371.1
Movie Title 669,Action,2014,6.1,1055244,92,Peter Jackson,German,France,49.9,242.6,94.0,192.7,386.2
Movie Title 670,Comedy,1985,6.8,1272118,152,Steven Spielberg,Spanish,France,162.1,966.7,90.0,804.6,496.4
Movie Title 671,Action,1997,6.2,179267,194,Denis Villeneuve,Italian,Australia,53.0,22.7,48.0,-30.3,-57.2
Movie Title 672,Action,1984,6.4,1909241,138,Ridley Scott,Spanish,South Korea,44.8,198.1,93.0,153.3,342.2
Movie Title 673,Documentary,2004,7.2,156489,116,James Cameron,Korean,USA,85.5,52.4,,-33.1,-38.7
Movie Title 674,Action,1981,3.6,345126,185,Quentin Tarantino,Italian,UK,74.8,424.0,67.0,349.2,466.8
Movie Title 675,Thriller,1989,5.0,1679997,99,Quentin Tarantino,Japanese,Australia,12.9,8.2,93.0,-4.7,-36.4
Movie Title 676,Crime,2009,6.6,1846759,94,Ridley Scott,Hindi,Australia,38.2,279.3,75.0,241.1,631.2
Movie Title 677,Romance,1984,6.0,309362,181,Quentin Tarantino,Japanese,Australia,38.4,218.0,36.0,179.6,467.7
Movie Title 678,Horror,2012,6.7,914081,94,James Cameron,English,South Korea,28.5,118.5,28.0,90.0,315.8
Movie Title 679,Comedy,1980,6.8,1843360,143,Guillermo del Toro,Spanish,France,43.7,159.2,53.0,115.5,264.3
Movie Title 680,Romance,1997,4.0,1783988,127,Ridley Scott,German,India,32.0,39.0,64.0,7.0,21.9
Movie Title 681,Horror,2011,8.0,1138411,163,James Cameron,Italian,France,13.3,32.8,28.0,19.5,146.6
Movie Title 682,Crime,1990,5.9,1671357,188,Denis Villeneuve,German,Japan,31.9,222.6,26.0,190.7,597.8
Movie Title 683,Crime,2000,5.5,816359,196,Peter Jackson,English,India,4.5,32.6,35.0,28.1,624.4
Movie Title 684,Comedy,2005,6.8,1746030,94,Coen Brothers,English,Australia,51.5,10.6,38.0,-40.9,-79.4
Movie Title 685,Comedy,2004,6.6,102948,147,Denis Villeneuve,Hindi,India,115.3,557.4,25.0,442.1,383.4
Movie Title 686,Crime,2001,7.9,1234770,168,Denis Villeneuve,English,France,77.5,450.3,30.0,372.8,481.0
Movie Title 687,Horror,2006,6.8,1603357,185,Quentin Tarantino,Italian,USA,26.8,134.7,95.0,107.9,402.6
